,pubtimestamp,companyname,triprecordnum,sumdid,tripduration,tripdistance,startdate,starttime,enddate,endtime,startlatitude,startlongitude,endlatitude,endlongitude,triproute,create_dt
0,2019-05-17 22:22:28.440,Lime,LIM2551,Powered3ZUJGJXF2ZNKH,3.2666666667,154.5336,2019-05-16,23:57:24,2019-05-17,00:00:40,36.149885,-86.806243,36.143585,-86.806403,"[(36.14794, -86.80781), (36.14665, -86.80784), (36.14359, -86.8064)]",2019-05-18 14:37:06.850
1,2019-05-17 12:41:42.690,Lime,LIM339,PoweredJ3W3IYZKYFJ3B,8.9166666667,363.0168,2019-05-16,23:59:31,2019-05-17,00:08:26,36.162516,-86.774172,36.165314,-86.781233,"[(36.16196, -86.77514), (36.16346, -86.77619999999999), (36.16552, -86.77750999999999), (36.165710000000004, -86.77847999999999), (36.164300000000004, -86.77962999999998), (36.16328000000001, -86.78012999999999), (36.16274000000001, -86.78273999999999), (36.16362000000001, -86.78242999999999)]",2019-05-18 12:12:22.720
2,2019-05-17 12:41:42.690,Lime,LIM338,PoweredOKECDCNGRBE7I,5.7833333333,91.7448,2019-05-16,23:57:44,2019-05-17,00:03:31,36.162853,-86.780569,36.161379,-86.77887,"[(36.16306, -86.7805), (36.16305, -86.78037), (36.16335, -86.78002000000001), (36.16216, -86.77949000000001), (36.16138, -86.77887000000001)]",2019-05-18 12:12:22.690
3,2019-05-16 23:06:29.720,Lyft,LFT1605,Powered678554,2.3785833333,0.0,2019-05-16,23:04:06.886666,2019-05-16,23:06:29.600000,36.14968,-86.80617,36.14968,-86.80618,"[(36.14968, -86.80617), (36.14968, -86.80618)]",2019-05-17 17:14:09.127
4,2019-05-16 23:06:39.690,Lyft,LFT1606,Powered421914,11.3823666667,7864.17348,2019-05-16,22:55:16.600000,2019-05-16,23:06:39.540000,36.1442,-86.81395,36.14426,-86.81389,"[(36.1442, -86.81395), (36.14424, -86.8139), (36.14434, -86.81379), (36.14443, -86.81373), (36.14449, -86.81367), (36.14455, -86.8136), (36.1448, -86.81355), (36.14508, -86.81374), (36.14493, -86.81401), (36.14473, -86.81428), (36.14465, -86.81437), (36.14454, -86.81429), (36.1444, -86.81425), (36.14428, -86.81436), (36.14415, -86.81441), (36.14393, -86.81426), (36.14391, -86.81418), (36.14407, -86.81403), (36.14411, -86.81391), (36.14425, -86.81374), (36.1445, -86.81346), (36.14464, -86.8134), (36.14479, -86.81356), (36.14494, -86.81365), (36.14501, -86.81372), (36.14515, -86.81373), (36.14512, -86.81359), (36.14511, -86.81351), (36.14503, -86.81341), (36.1462, -86.81326), (36.14635, -86.81307), (36.14649, -86.81278), (36.14662, -86.81249), (36.14676, -86.81243), (36.147, -86.81243), (36.14727, -86.81257), (36.1475, -86.81276), (36.14765, -86.81287), (36.14774, -86.81288), (36.14775, -86.81276), (36.14767, -86.81259), (36.14773, -86.81261), (36.14792, -86.81284), (36.14808, -86.81304), (36.14827, -86.81321), (36.14855, -86.81345), (36.14874, -86.81361), (36.14887, -86.81371), (36.14902, -86.81383), (36.14919, -86.81397), (36.14941, -86.81417), (36.14953, -86.81428), (36.14971, -86.81443), (36.14991, -86.81469), (36.14999, -86.81485), (36.14992, -86.81506), (36.14979, -86.81519), (36.14959, -86.8152), (36.14926, -86.81516), (36.14892, -86.81495), (36.14874, -86.81479), (36.14854, -86.81472), (36.14841, -86.81465), (36.14828, -86.81457), (36.14812, -86.81442), (36.14792, -86.81428), (36.14766, -86.81402), (36.14733, -86.81372), (36.14698, -86.81348), (36.14663, -86.81332), (36.14668, -86.81297), (36.14683, -86.81267), (36.14676, -86.81246), (36.1466, -86.81262), (36.14648, -86.81287), (36.14638, -86.81309), (36.14629, -86.81327), (36.14614, -86.81356), (36.14596, -86.81392), (36.14586, -86.81414), (36.1457, -86.81445), (36.14551, -86.81478), (36.14532, -86.81512), (36.14513, -86.81526), (36.14486, -86.8151), (36.14456, -86.81487), (36.14423, -86.81463), (36.14407, -86.81442), (36.14395, -86.81431), (36.14395, -86.81419), (36.14411, -86.81402), (36.14424, -86.81382), (36.14438, -86.81363), (36.14451, -86.81347), (36.14462, -86.81338), (36.14462, -86.81347), (36.1446, -86.81361), (36.14455, -86.81381), (36.14445, -86.81395), (36.14431, -86.81388), (36.14426, -86.81389), (36.14426, -86.81389)]",2019-05-17 17:14:09.160
5,2019-05-16 23:06:52.277,Lyft,LFT1607,Powered953918,16.4475333333,3851.70616,2019-05-16,22:50:24.906666,2019-05-16,23:06:51.756666,36.1628,-86.77621,36.16349,-86.77639,"[(36.1628, -86.77621), (36.16276, -86.77632), (36.16274, -86.7764), (36.16272, -86.77646), (36.16268, -86.77651), (36.16278, -86.77657), (36.16289, -86.77664), (36.1631, -86.7768), (36.16326, -86.77693), (36.16347, -86.77704), (36.16363, -86.77713), (36.1638, -86.77723), (36.16402, -86.77741), (36.16406, -86.77755), (36.16399, -86.7777), (36.16389, -86.7778), (36.16384, -86.77789), (36.16384, -86.77795), (36.16377, -86.77807), (36.16371, -86.7782), (36.16371, -86.77842), (36.16372, -86.77858), (36.1637, -86.77867), (36.16372, -86.77876), (36.16376, -86.77883), (36.16378, -86.77889), (36.16381, -86.77896), (36.16383, -86.77904), (36.16394, -86.77908), (36.16401, -86.77914), (36.16414, -86.77924), (36.16426, -86.77933), (36.16442, -86.77943), (36.16461, -86.77947), (36.16454, -86.77957), (36.16446, -86.77967), (36.1644, -86.77978), (36.16437, -86.77984), (36.16432, -86.77989), (36.16425, -86.77996), (36.16417, -86.78004), (36.16416, -86.7801), (36.164, -86.78017), (36.164, -86.78029), (36.16403, -86.78041), (36.16406, -86.78052), (36.16407, -86.78059), (36.16406, -86.78069), (36.16405, -86.78075), (36.16406, -86.78081), (36.16404, -86.78086), (36.16401, -86.78091), (36.16397, -86.78092), (36.16392, -86.78089), (36.16379, -86.78082), (36.16364, -86.78068), (36.16357, -86.78064), (36.16353, -86.78059), (36.16347, -86.78047), (36.16354, -86.78028), (36.16358, -86.78), (36.16366, -86.77975), (36.16374, -86.77941), (36.16394, -86.77902), (36.164, -86.77879), (36.16404, -86.77868), (36.1641, -86.77853), (36.16415, -86.7784), (36.16421, -86.77819), (36.16426, -86.77805), (36.16434, -86.77783), (36.16441, -86.77752), (36.16453, -86.77725), (36.16457, -86.77712), (36.16462, -86.77697), (36.16454, -86.77693), (36.16442, -86.77683), (36.16426, -86.7768), (36.16419, -86.77679), (36.16405, -86.77677), (36.16389, -86.77676), (36.16379, -86.77669), (36.1637, -86.77661), (36.16356, -86.77645), (36.16349, -86.77639), (36.16349, -86.77639)]",2019-05-17 17:14:09.190
6,2019-05-17 12:51:43.130,Lime,LIM342,PoweredOKECDCNGRBE7I,5.7833333333,91.7448,2019-05-16,23:57:44,2019-05-17,00:03:31,36.162853,-86.780569,36.161379,-86.77887,"[(36.16306, -86.7805), (36.16305, -86.78037), (36.16335, -86.78002000000001), (36.16216, -86.77949000000001), (36.16138, -86.77887000000001)]",2019-05-18 12:13:42.267
7,2019-05-16 23:54:15.793,Bird,BRD2476,Powered8LMWR,10.0,6561.68,2019-05-16,23:45:51.093333,2019-05-16,23:55:54.850000,36.1496,-86.7783,36.1523,-86.7973,"[(36.149577, -86.77827), (36.149745, -86.778687), (36.149632, -86.779319), (36.149573, -86.779536), (36.151772, -86.788898), (36.15162, -86.792737), (36.151109, -86.796517), (36.152391, -86.79728), (36.15247, -86.796898), (36.152692, -86.796508)]",2019-05-17 12:26:58.940
8,2019-05-17 00:10:45.947,Lime,LIM44,PoweredU3OXSFF74UNQX,10.6166666667,375.2088,2019-05-16,23:57:48,2019-05-17,00:08:25,36.154471,-86.785194,36.147946,-86.793506,"[(36.15409, -86.78596), (36.1532, -86.78985), (36.15258, -86.79232), (36.15194, -86.79375), (36.151, -86.79443), (36.15102, -86.7945), (36.15106, -86.7945), (36.15043, -86.79422), (36.14795, -86.79351)]",2019-05-18 10:56:37.767
9,2019-05-17 15:16:55.257,Lime,LIM227,PoweredMCOMTKK4Z4YHC,8.7666666667,249.0216,2019-05-16,23:56:59,2019-05-17,00:05:45,36.182216,-86.739934,36.186139,-86.743872,"[(36.18285, -86.73981), (36.18292, -86.73936), (36.18319, -86.7399), (36.18336, -86.74223), (36.1835, -86.74405), (36.18347, -86.74446), (36.18458, -86.74455), (36.186139999999995, -86.74385000000001)]",2019-05-18 12:34:34.710
