"pubtimestamp","companyname","triprecordnum","sumdid","tripduration","tripdistance","startdate","starttime","enddate","endtime","startlatitude","startlongitude","endlatitude","endlongitude","triproute","create_dt"
"2019-05-17 10:31:57","JUMP","JMP398","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","4.32595","950.4","2019-05-17","05:08:29","2019-05-17","05:12:49","36.15759","-86.77537","36.15749","-86.772316","[('36.157721', '-86.775416'), ('36.157748', '-86.775501'), ('36.157748', '-86.775501'), ('36.157488', '-86.772315')]","2019-05-18 06:20:18.607"
"2019-05-17 10:31:57","JUMP","JMP446","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","2.6161666","52.8","2019-05-17","06:47:33","2019-05-17","06:50:10","36.16179","-86.77782","36.16158","-86.7778","[('36.16179', '-86.777813'), ('36.161581', '-86.777798'), ('36.161581', '-86.777798')]","2019-05-18 06:20:20.16"
"2019-05-17 10:31:57","JUMP","JMP461","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","2.9215333","1108.8","2019-05-17","07:26:38","2019-05-17","07:29:34","36.16387","-86.77478","36.164394","-86.77567","[('36.16387', '-86.774781'), ('36.16387', '-86.774781'), ('36.16387', '-86.774781'), ('36.16387', '-86.774781'), ('36.16387', '-86.774781'), ('36.162805', '-86.774315'), ('36.162805', '-86.774315'), ('36.164396', '-86.775676')]","2019-05-18 06:20:35.663"
"2019-05-17 22:57:03","JUMP","JMP846","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","5.013","475.2","2019-05-17","17:17:49","2019-05-17","17:22:50","36.16299","-86.77578","36.162697","-86.77725","[('36.162991', '-86.775783'), ('36.162863', '-86.775936'), ('36.162863', '-86.775936'), ('36.16294', '-86.77641'), ('36.1629', '-86.776685'), ('36.162698', '-86.77725'), ('36.162698', '-86.77725')]","2019-05-18 06:20:47.25"
"2019-05-17 22:57:03","JUMP","JMP873","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","3.9953833","950.4","2019-05-17","17:31:00","2019-05-17","17:35:00","36.147415","-86.79905","36.149616","-86.80045","[('36.147416', '-86.799048'), ('36.147416', '-86.799048'), ('36.147435', '-86.799303'), ('36.148061', '-86.799608'), ('36.148061', '-86.799608'), ('36.149615', '-86.800453')]","2019-05-18 06:20:48.267"
"2019-05-17 14:01:58","JUMP","JMP475","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","271.0798","11774.4","2019-05-17","03:52:19","2019-05-17","08:23:24","36.160862","-86.777176","36.180077","-86.75498","[('36.160925', '-86.776906'), ('36.160901', '-86.776951'), ('36.160901', '-86.776951'), ('36.160601', '-86.776868'), ('36.160601', '-86.776868'), ('36.16018', '-86.776561'), ('36.16018', '-86.776561'), ('36.160661', '-86.774876'), ('36.160661', '-86.774876'), ('36.16196', '-86.772271'), ('36.164271', '-86.769306'), ('36.165866', '-86.767326'), ('36.165866', '-86.767326'), ('36.16683', '-86.766245'), ('36.169878', '-86.768243'), ('36.169878', '-86.768243'), ('36.170833', '-86.767048'), ('36.170833', '-86.767048'), ('36.171606', '-86.765045'), ('36.172328', '-86.763301'), ('36.173028', '-86.761563'), ('36.173028', '-86.761563'), ('36.17398', '-86.75899'), ('36.17398', '-86.75899'), ('36.174523', '-86.757505'), ('36.175263', '-86.755651'), ('36.17575', '-86.754766'), ('36.177068', '-86.755486'), ('36.177068', '-86.755486'), ('36.179728', '-86.75505'), ('36.179928', '-86.755045'), ('36.179928', '-86.755045'), ('36.179928', '-86.755045'), ('36.17994', '-86.755033'), ('36.179928', '-86.75501'), ('36.179928', '-86.75501'), ('36.17995', '-86.75501'), ('36.17995', '-86.75501'), ('36.179926', '-86.755001'), ('36.179926', '-86.755001'), ('36.179916', '-86.754926'), ('36.180041', '-86.75499'), ('36.180041', '-86.75499'), ('36.180068', '-86.755005'), ('36.180068', '-86.755005'), ('36.180043', '-86.754973'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180043', '-86.754981'), ('36.180045', '-86.754981'), ('36.180078', '-86.754978'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981'), ('36.180076', '-86.754981')]","2019-05-18 06:20:35.933"
"2019-05-17 14:01:58","JUMP","JMP483","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","30.297766","29620.8","2019-05-17","08:38:52","2019-05-17","09:09:10","36.143265","-86.81456","36.1949","-86.74239","[('36.143263', '-86.814558'), ('36.143263', '-86.814558'), ('36.143263', '-86.814558'), ('36.14356', '-86.814208'), ('36.14356', '-86.814208'), ('36.14585', '-86.810586'), ('36.148321', '-86.807376'), ('36.148321', '-86.807376'), ('36.151115', '-86.804258'), ('36.151115', '-86.804258'), ('36.151115', '-86.804258'), ('36.153526', '-86.800465'), ('36.153526', '-86.800465'), ('36.155495', '-86.796403'), ('36.155495', '-86.796403'), ('36.155495', '-86.796403'), ('36.157436', '-86.792428'), ('36.157436', '-86.792428'), ('36.161091', '-86.785008'), ('36.163343', '-86.783675'), ('36.163343', '-86.783675'), ('36.163343', '-86.783675'), ('36.16347', '-86.783263'), ('36.16347', '-86.783263'), ('36.16347', '-86.783263'), ('36.164981', '-86.780191'), ('36.164981', '-86.780191'), ('36.164981', '-86.780191'), ('36.166703', '-86.777195'), ('36.168588', '-86.773221'), ('36.169648', '-86.770228'), ('36.169648', '-86.770228'), ('36.170931', '-86.76681'), ('36.17225', '-86.76361'), ('36.173853', '-86.762503'), ('36.173853', '-86.762503'), ('36.175526', '-86.75827'), ('36.175526', '-86.75827'), ('36.176818', '-86.754893'), ('36.176818', '-86.754893'), ('36.178248', '-86.751458'), ('36.180806', '-86.7496'), ('36.180806', '-86.7496'), ('36.180806', '-86.7496'), ('36.183358', '-86.74845'), ('36.186198', '-86.74716'), ('36.186198', '-86.74716'), ('36.189181', '-86.745865'), ('36.189181', '-86.745865'), ('36.192541', '-86.744401'), ('36.1949', '-86.742391')]","2019-05-18 06:20:36.12"
"2019-05-17 10:31:57","JUMP","JMP367","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","5.4848666","2692.8","2019-05-17","04:30:09","2019-05-17","04:35:38","36.17036","-86.78446","36.164375","-86.77976","[('36.170378', '-86.7844'), ('36.170341', '-86.78444'), ('36.170341', '-86.78444'), ('36.169033', '-86.78407'), ('36.169033', '-86.78407'), ('36.168133', '-86.782193'), ('36.168133', '-86.782193'), ('36.165586', '-86.780325'), ('36.165586', '-86.780325'), ('36.164376', '-86.77976')]","2019-05-18 06:20:17.363"
"2019-05-17 22:57:03","JUMP","JMP862","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","6.858733","1372.8","2019-05-17","17:22:21","2019-05-17","17:29:13","36.153114","-86.78555","36.15671","-86.78737","[('36.153208', '-86.785648'), ('36.153178', '-86.785676'), ('36.154508', '-86.786268'), ('36.154508', '-86.786268'), ('36.156386', '-86.787205'), ('36.156386', '-86.787205'), ('36.156386', '-86.787205'), ('36.15665', '-86.78735'), ('36.15665', '-86.78735'), ('36.156711', '-86.787365')]","2019-05-18 06:20:47.493"
"2019-05-17 10:31:57","JUMP","JMP425","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","5.7358165","1161.6","2019-05-17","05:44:32","2019-05-17","05:50:16","36.167904","-86.78297","36.167953","-86.78311","[('36.16797', '-86.782968'), ('36.167975', '-86.782988'), ('36.168418', '-86.78352'), ('36.168418', '-86.78352'), ('36.168418', '-86.78352'), ('36.169311', '-86.783945'), ('36.169148', '-86.783885'), ('36.167953', '-86.783106'), ('36.167955', '-86.78311')]","2019-05-18 06:20:19.38"
