,startlatitude,startlongitude,trip_count
0,36.121424,-86.775322,115
1,36.127765,-86.776284,107
2,36.125178,-86.789675,99
3,36.125866,-86.789233,98
4,36.136707,-86.779232,90
5,36.139244,-86.811156,89
6,36.131233,-86.809301,87
7,36.149973,-86.800773,86
8,36.135776,-86.801179,84
9,36.147582,-86.793625,83
10,36.139243,-86.811059,82
11,36.148631,-86.809593,67
12,36.150958,-86.784415,62
13,36.148713,-86.80949,62
14,36.149885,-86.806243,61
15,36.154471,-86.785194,59
16,36.155665,-86.775164,57
17,36.145241,-86.811948,57
18,36.154014,-86.784528,56
19,36.153025,-86.789741,54
20,36.15301,-86.7835,53
21,36.153807,-86.784739,52
22,36.151196,-86.784251,49
23,36.163165,-86.780323,47
24,36.162516,-86.774172,46
25,36.156835,-86.780859,43
26,36.162853,-86.780569,41
27,36.160973,-86.773354,40
28,36.160329,-86.780638,40
29,36.159514,-86.780587,38
30,36.150824,-86.796535,36
31,36.1628,-86.780646,34
32,36.160757,-86.777831,34
33,36.160649,-86.776875,34
34,36.182216,-86.739934,34
35,36.151027,-86.794566,33
36,36.183527,-86.75729,29
37,36.150868,-86.796424,28
38,36.154959,-86.774889,27
39,36.151432,-86.804219,26
40,36.1848,-86.754172,26
41,36.157901,-86.784031,24
42,36.157838,-86.781463,23
43,36.162895,-86.776895,23
44,36.151334,-86.794076,23
45,36.162399,-86.779484,23
46,36.16198,-86.779484,15
47,36.167123,-86.780133,15
48,36.166023,-86.776983,11
49,36.162653,-86.790856,11
50,36.163245,-86.791375,10
51,36.162616,-86.791198,10
52,36.161898,-86.77606,9
53,36.166497,-86.781383,8
54,36.161933,-86.776335,8
55,36.163467,-86.791471,8
56,36.165215,-86.773633,7
57,36.122272,-86.779979,5
58,36.165742,-86.826924,5
59,36.122299,-86.779941,4
60,36.119084,-86.777169,3
61,36.1697,-86.75623,2
62,36.1616,-86.774,2
63,36.1539,-86.7968,2
64,36.1509,-86.7832,2
65,36.15009,-86.79659,1
66,36.15012,-86.80273,1
67,36.1503,-86.7786,1
68,36.1504,-86.7798,1
69,36.150705982033294,-86.80067206741013,1
70,36.1493,-86.8183,1
71,36.15085,-86.78283,1
72,36.14855577241271,-86.80700040430465,1
73,36.15093,-86.78448,1
74,36.15095,-86.78447,1
75,36.1485,-86.7978,1
76,36.1509682,-86.8005877,1
77,36.14849,-86.81062,1
78,36.1510647672964,-86.80040714705295,1
79,36.15107165035853,-86.80031099138002,1
80,36.1511,-86.7918,1
81,36.14848723946138,-86.80701010202321,1
82,36.1512,-86.7843,1
83,36.14848,-86.81063,1
84,36.1514,-86.8021,1
85,36.14807,-86.76072,1
86,36.1516,-86.8019,1
87,36.1517,-86.7852,1
88,36.1519762,-86.7842213,1
89,36.15209,-86.79755,1
90,36.1521,-86.7931,1
91,36.15212,-86.78444,1
92,36.15225000735277,-86.79146608637066,1
93,36.1523,-86.7955,1
94,36.15236792953717,-86.791177245287,1
95,36.1524,-86.795,1
96,36.1524,-86.7911,1
97,36.1524,-86.7839,1
98,36.15243,-86.79137,1
99,36.1525,-86.7952,1
100,36.1526,-86.7967,1
101,36.15261,-86.79629,1
102,36.15298,-86.78307,1
103,36.153,-86.7894,1
104,36.14795,-86.81376,1
105,36.14777,-86.81273,1
106,36.1531,-86.821,1
107,36.1531,-86.7963,1
108,36.1531,-86.7838,1
109,36.1534,-86.7724,1
110,36.1535,-86.7857,1
111,36.14774,-86.8127,1
112,36.1539,-86.7967,1
113,36.14771,-86.81273,1
114,36.1475,-86.7939,1
115,36.1545,-86.7815,1
116,36.1474,-86.7935,1
117,36.1551,-86.7854,1
118,36.1553,-86.781,1
119,36.1554,-86.7824,1
120,36.15552,-86.78535,1
121,36.15553,-86.76804,1
122,36.1556,-86.7752,1
123,36.15563,-86.78934,1
124,36.14623,-86.81158,1
125,36.1557,-86.7677,1
126,36.15593,-86.77394,1
127,36.15597,-86.77405,1
128,36.15607,-86.78004,1
129,36.15612,-86.78007,1
130,36.1563,-86.7654,1
131,36.15635,-86.77598,1
132,36.1565,-86.7743,1
133,36.1566,-86.8077,1
134,36.15668,-86.77568,1
135,36.15669,-86.77558,1
136,36.15677,-86.78101,1
137,36.1462,-86.81157,1
138,36.15693,-86.77647,1
139,36.15706,-86.77464,1
140,36.15717,-86.76645,1
141,36.15727,-86.76654,1
142,36.15752,-86.77951,1
143,36.15754,-86.77947,1
144,36.1576276371296,-86.78133118471298,1
145,36.15764124298072,-86.78147349876144,1
146,36.15764879928567,-86.78132171339841,1
147,36.15777117203563,-86.7815473304007,1
148,36.15777884147703,-86.78162720993792,1
149,36.1458,-86.7999,1
150,36.15785691890508,-86.78128187552724,1
151,36.1579,-86.7841,1
152,36.14503,-86.8122,1
153,36.158,-86.777,1
154,36.15808,-86.81048,1
155,36.15814,-86.784,1
156,36.15865,-86.77698,1
157,36.1587,-86.7745,1
158,36.1587,-86.7744,1
159,36.15872089779749,-86.78240509053853,1
160,36.15878362211972,-86.781897023401,1
161,36.1588,-86.7793,1
162,36.15888,-86.78173,1
163,36.1589,-86.7744,1
164,36.1589505,-86.7764402,1
165,36.15938775781642,-86.77662658901876,1
166,36.14492729219805,-86.78487126048175,1
167,36.15989,-86.77515,1
