,startlatitude,startlongitude,companyname,trip_count
0,36.121424,-86.775322,Lime,115
1,36.127765,-86.776284,Lime,107
2,36.125178,-86.789675,Lime,99
3,36.125866,-86.789233,Lime,98
4,36.136707,-86.779232,Lime,90
5,36.139244,-86.811156,Lime,89
6,36.131233,-86.809301,Lime,87
7,36.149973,-86.800773,Lime,86
8,36.135776,-86.801179,Lime,84
9,36.147582,-86.793625,Lime,83
10,36.139243,-86.811059,Lime,82
11,36.148631,-86.809593,Lime,67
12,36.150958,-86.784415,Lime,62
13,36.148713,-86.80949,Lime,62
14,36.149885,-86.806243,Lime,61
15,36.154471,-86.785194,Lime,59
16,36.155665,-86.775164,Lime,57
17,36.145241,-86.811948,Lime,57
18,36.154014,-86.784528,Lime,56
19,36.153025,-86.789741,Lime,54
20,36.15301,-86.7835,Lime,53
21,36.153807,-86.784739,Lime,52
22,36.151196,-86.784251,Lime,49
23,36.163165,-86.780323,Lime,47
24,36.162516,-86.774172,Lime,46
25,36.156835,-86.780859,Lime,43
26,36.162853,-86.780569,Lime,41
27,36.160973,-86.773354,Lime,40
28,36.160329,-86.780638,Lime,40
29,36.159514,-86.780587,Lime,38
30,36.150824,-86.796535,Lime,36
31,36.1628,-86.780646,Lime,34
32,36.160757,-86.777831,Lime,34
33,36.160649,-86.776875,Lime,34
34,36.182216,-86.739934,Lime,34
35,36.151027,-86.794566,Lime,33
36,36.183527,-86.75729,Lime,29
37,36.150868,-86.796424,Lime,28
38,36.154959,-86.774889,Lime,27
39,36.151432,-86.804219,Lime,26
40,36.1848,-86.754172,Lime,26
41,36.157901,-86.784031,Lime,24
42,36.157838,-86.781463,Lime,23
43,36.162895,-86.776895,Lime,23
44,36.151334,-86.794076,Lime,23
45,36.162399,-86.779484,Lime,23
46,36.16198,-86.779484,Lime,15
47,36.167123,-86.780133,Lime,15
48,36.166023,-86.776983,Lime,11
49,36.162653,-86.790856,Lime,11
50,36.163245,-86.791375,Lime,10
51,36.162616,-86.791198,Lime,10
52,36.161898,-86.77606,Lime,9
53,36.166497,-86.781383,Lime,8
54,36.161933,-86.776335,Lime,8
55,36.163467,-86.791471,Lime,8
56,36.165215,-86.773633,Lime,7
57,36.122272,-86.779979,Lime,5
58,36.165742,-86.826924,Lime,5
59,36.122299,-86.779941,Lime,4
60,36.119084,-86.777169,Lime,3
61,36.1697,-86.75623,Lyft,2
62,36.1616,-86.774,Bird,2
63,36.1539,-86.7968,Bird,2
64,36.1509,-86.7832,Bird,2
65,36.15009,-86.79659,Lyft,1
66,36.15012,-86.80273,Lyft,1
67,36.1503,-86.7786,Bird,1
68,36.1504,-86.7798,Bird,1
69,36.150705982033294,-86.80067206741013,SPIN,1
70,36.1493,-86.8183,Bird,1
71,36.15085,-86.78283,Lyft,1
72,36.14855577241271,-86.80700040430465,SPIN,1
73,36.15093,-86.78448,Lyft,1
74,36.15095,-86.78447,Lyft,1
75,36.1485,-86.7978,Bird,1
