,sumdid,company,lat,lon,geometry,index_right,zip,objectid,po_name,shape_stlength,shape_starea
0,Powered-017d3133-f14a-2b83-ee4f-d777e7c5b619,Bolt,36.121115,-86.814587,POINT (-86.814587 36.121115),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
4,Powered-0479bb84-afbd-0426-f1c4-df628542a88c,Bolt,36.122782,-86.815677,POINT (-86.815677 36.122782),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
8,Powered-05fedb39-a00f-a5e0-2219-8c3c7dd1b80e,Bolt,36.120917,-86.81454,POINT (-86.81454 36.120917),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
11,Powered-09c75f98-6492-9d35-12e4-c5649cebf403,Bolt,36.125102,-86.815059,POINT (-86.815059 36.125102),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
13,Powered-0ac70fa5-9f26-e69b-ca7a-9803d2aa1535,Bolt,36.123545,-86.814578,POINT (-86.814578 36.123545),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
27,Powered-14f91c47-4059-a674-13a6-4a7b2ece2cbd,Bolt,36.117285,-86.819342,POINT (-86.819342 36.117285),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
30,Powered-184aee69-32ba-9cce-7375-d7092d9b8773,Bolt,36.125937,-86.814555,POINT (-86.814555 36.125937),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
31,Powered-19820bae-3edc-31a6-795b-925fdcea8338,Bolt,36.121677,-86.814638,POINT (-86.814638 36.121677),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
32,Powered-1a06c7ad-0f36-d984-562d-ed0d82ef20cf,Bolt,36.126673,-86.816727,POINT (-86.816727 36.126673),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
35,Powered-1d5be2e5-e674-dcfd-d1a7-ac9bba113654,Bolt,36.120521,-86.814636,POINT (-86.814636 36.120521),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
39,Powered-20875abd-a212-bb00-be20-f39e0488eb8d,Bolt,36.125894,-86.815466,POINT (-86.815466 36.125894),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
50,Powered-27c0ee73-6b11-7013-b7b9-0664173dc436,Bolt,36.124422,-86.814598,POINT (-86.814598 36.124422),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
62,Powered-2c5ba835-3f98-7a9e-6018-e9b8ac0fee38,Bolt,36.121224,-86.814748,POINT (-86.814748 36.121224),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
65,Powered-2cfdbb5b-85d4-47c1-8cbe-2859c2cceff9,Bolt,36.124999,-86.814995,POINT (-86.814995 36.124999),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
66,Powered-2d8ecfea-d94a-9574-36f7-27d50dc9a7a4,Bolt,36.124987,-86.816577,POINT (-86.816577 36.124987),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
67,Powered-2da4ef55-f8fd-d075-7141-4a65d92b6571,Bolt,36.127631,-86.815787,POINT (-86.815787 36.127631),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
77,Powered-3756b3aa-e53a-3cda-4cba-987c90130f42,Bolt,36.121507,-86.815904,POINT (-86.815904 36.121507),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
81,Powered-3c096a24-c7ce-0c6b-f380-301ef2d96de6,Bolt,36.126416,-86.81485,POINT (-86.81485 36.126416),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
84,Powered-3da61b5b-255c-0a2d-25d5-25f44e2aff7c,Bolt,36.12683,-86.814828,POINT (-86.814828 36.12683),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
89,Powered-40d728a6-1adb-3e5b-e813-5040890b64b5,Bolt,36.120311,-86.814513,POINT (-86.814513 36.120311),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
