"companyname","sumdid","avg_trips_per_day"
"Bird","PoweredUNKNOWN","39.2717"
"JUMP","Poweredb671ffe4-2bca-5880-98ec-d36f65aa11a2","20.7391"
"Lime","PoweredR3QXO6TL2HIAB","4.1522"
"Lime","PoweredZ6HF5P5HCJCT5","4.0109"
"Lime","PoweredCL37MXJKM7RS5","3.8261"
"Lime","PoweredAK442HUNLJ36S","3.7717"
"Lime","PoweredRJ7YYJTHAR5N3","3.7283"
"Lime","Powered4ZPLZX2G755LW","3.6957"
"Lime","PoweredWVIAXNCVDNOXP","3.6739"
"Lime","PoweredME7IR625ZUUBP","3.6304"
"Lime","PoweredQQOLTIYF2NHPZ","3.6196"
"Lime","PoweredML52CTHQPHVSZ","3.5978"
"Lime","PoweredWZLC7D3TEMPS2","3.5326"
"Lime","PoweredZ654BJZPRPNXC","3.4891"
"Lime","PoweredIFJIBG3QHYXWB","3.4783"
"Lime","PoweredABMIE5RQM5MJ6","3.4783"
"Lime","Powered5BW4GPYGBMUTL","3.4674"
"Lime","PoweredXZH7USFBU76DX","3.4130"
"Lime","PoweredSQWMJWTIGM6DS","3.3696"
"Lime","PoweredQDVYGLDL6ZQDU","3.3587"
"Lime","PoweredZ5IMPCBKO5P7E","3.3478"
"Lime","PoweredTVZN3QVMMQ5UK","3.3261"
"Lime","PoweredJTXV42MMK5N2K","3.3152"
"Lime","PoweredYNW4O7K6MWVLD","3.2935"
"Lime","PoweredPDGQQ2VKBRR6N","3.2717"
"Lime","PoweredTJKT7B3Y3JSDE","3.2500"
"Lime","PoweredJLTNICE7DQVPU","3.2500"
"Lime","PoweredAKWXXWK3HB2WC","3.2391"
"Lime","PoweredZOCKVYKHOOL77","3.2174"
"Lime","PoweredVBP67J666ZNEH","3.2065"
"Lime","PoweredZ4WPML62Z56WJ","3.1848"
"Lime","Powered25WTY4ODS5QZ7","3.1739"
"Lime","PoweredFR3FK5ZFAH6GV","3.1522"
"Lime","PoweredOWWGOR5KA6ZLV","3.1196"
"Lime","Powered3ZPCHCTLNK2WR","3.1087"
"Lime","PoweredITR2YOJ3T7SLF","3.0978"
"Lime","PoweredUADBT5UFY3FHV","3.0870"
"Lime","PoweredAC4KFEJR4UBGC","3.0652"
"Lime","PoweredYPV5BYWBUHVIE","3.0543"
"Lime","Powered5SF4HXFBOGUWA","3.0543"
"Lime","PoweredUUWXT2VNTRVOS","3.0326"
"Lime","PoweredTQGSRJ6WUJF7I","3.0217"
"Lime","PoweredPVIIGJ7XTWBM4","3.0109"
"Lime","PoweredOWYPWGRW22KJ6","3.0109"
"Lime","PoweredEGRN7CFK6Q6K2","3.0000"
"Lime","PoweredZDBVLIT7CNBLG","3.0000"
"Lime","PoweredJVORYRHLCRMDH","2.9891"
"Lime","PoweredLRAXWZSZ5DGEV","2.9891"
"Lime","PoweredJ3W3IYZKYFJ3B","2.9891"
"Lime","PoweredKF47YZWLD3URV","2.9783"
"Lime","PoweredEAOQMIQZ5UIVS","2.9783"
"Lime","PoweredVPBLRG7IZBSFP","2.9674"
"Lime","PoweredY43QZC36T4SXL","2.9565"
"Lime","Powered7F7SGZH42ZGS7","2.9565"
"Lime","PoweredRITYZFWANFYXJ","2.9565"
"Lime","PoweredKKKTYUMM22UYX","2.9457"
"Lime","Powered4WOKR5XFN26KV","2.9457"
"Lime","PoweredC6PDDC6OOF65G","2.9457"
"Lime","Powered7Z5JCSDD2WSML","2.9457"
"Lime","PoweredH4GQZH2O546WG","2.9457"
"Lime","PoweredLBMGCUNZRVTRY","2.9348"
"Lime","PoweredTGNGBP4WCGWGW","2.9239"
"Lime","Powered5BMTTDARQ2M6P","2.9239"
"Lime","PoweredHICJ5XYHBAW5I","2.9239"
"Lime","Powered4FCVKYQ3DTH7H","2.9239"
"Lime","PoweredBMN4DSQCVSC5J","2.9239"
"Lime","PoweredM7RMVITRQHJ3Z","2.9130"
"Lime","Powered4RHQ7BYJ3THDK","2.9130"
"Lime","PoweredSJTYATG4FVICD","2.9022"
"Lime","PoweredTABKWA2BCDCGJ","2.8913"
"Lime","PoweredYDQW5ISWTRM6T","2.8913"
"Lime","PoweredQWNF6PDP3ATCN","2.8804"
"Lime","PoweredVIEIPVJSNPOCQ","2.8804"
"Lime","PoweredKXVYA76TFEJHA","2.8696"
"Lime","PoweredZRKDKQ24W2P2X","2.8696"
"Lime","PoweredIJN2BOH72FXRU","2.8587"
"Lime","PoweredGCCUGIRTT5OCW","2.8587"
"Lime","Powered5QBZSLFMLMLQU","2.8587"
"Lime","PoweredS2ET34G4J7ECO","2.8478"
"Lime","PoweredDIOKCEJNO2ZE2","2.8478"
"Lime","PoweredD2OTOYNGZJL3H","2.8478"
"Lime","PoweredHOYRQVTP2JLCO","2.8370"
"Lime","PoweredOLK3AVFJN3HQ6","2.8261"
"Lime","PoweredBMGSNU4OTD4SK","2.8261"
"Lime","PoweredLAXX65AIGQ27Q","2.8261"
"Lime","PoweredTVB3YTZZ53TBE","2.8152"
"Lime","PoweredSGVLYD5XJ3UO7","2.8043"
"Lime","PoweredJEV42ISYX64XG","2.7935"
"Lime","PoweredFEFZAYSGCVRAW","2.7717"
"Lime","PoweredEKHR3C2WWD7OF","2.7717"
"Lime","PoweredMDL5O3JVDSCK5","2.7717"
"Lime","Powered7NP2PP73QGTYO","2.7609"
"Lime","Powered3ZUJGJXF2ZNKH","2.7609"
"Lime","PoweredDJQATZBXPBUAE","2.7609"
"Lime","Powered3PEHX6PRBK7LX","2.7500"
"Lime","Powered5E4E4EFXSEU55","2.7500"
"Lime","PoweredI4FMPXTI2Q7WN","2.7500"
"Lime","Powered3XINKE5ALW66Z","2.7500"
"Lime","PoweredFDSKDRYTSIZDI","2.7391"
"Lime","PoweredMWA2NEKTFGT6H","2.7391"
"Lime","PoweredOH5ERPUT5P5PH","2.7391"
"Lime","PoweredLNAVSI3QKRPVH","2.7391"
"Lime","PoweredZJJPGS7XLOFBQ","2.7283"
"Lime","PoweredZ72S7KBKVZWU7","2.7283"
"Lime","PoweredOEHCPCAUHESR5","2.7174"
"Lime","PoweredEF66WRDLYZLGU","2.7174"
"Lime","PoweredW745F6EOTOGB6","2.7174"
"Lime","PoweredXC5VBNPASIGXR","2.7174"
"Lime","PoweredA2MMMLCRLSMPF","2.7065"
"Lime","PoweredQOW23KD6JPIJZ","2.7065"
"Lime","PoweredAC4O2SX2UDP4N","2.7065"
"Lime","PoweredVQ5PFPDWRF6AH","2.7065"
"Lime","PoweredVPMK24SWEM66S","2.7065"
"Lime","PoweredR64AXPVBCU44L","2.7065"
"Lime","PoweredCGGCR4WGYBID4","2.7065"
"Lime","PoweredRJEGEAKSYP24C","2.6957"
"Lime","Powered7IM4P5IZ3SC6T","2.6957"
"Lime","Powered7UN7P27A5HR5H","2.6848"
"Lime","PoweredRRC5FV6DYYHBL","2.6848"
"Lime","PoweredKCXMXKUIP3Z4E","2.6848"
"Lime","PoweredU3OXSFF74UNQX","2.6848"
"Lime","PoweredKGVLCJ3EW5NOA","2.6848"
"Lime","PoweredC76O5YMMHEWNU","2.6739"
"Lime","PoweredOD524HKHPZFN6","2.6739"
"Lime","PoweredC5M42FEH36NYJ","2.6630"
"Lime","PoweredIHGSNSRXCZ2ZG","2.6630"
"Lime","PoweredP5AZXXSG7MVR6","2.6630"
"Lime","PoweredEDBDXLOZJAP6Z","2.6522"
"Lime","PoweredFKJK22ET5UGXW","2.6522"
